Time_ms,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10,Sensor 11,Sensor 12,Sensor 13,Sensor 14,Sensor 15,Sensor 16,Sensor 17,Sensor 18,Sensor 19,Sensor 20,Sensor 21,Sensor 22,Sensor 23,Sensor 24
38322,100.87,104.79,31.47,29.9,30.49,30.49,62.39,31.2,36.1,31.84,32.51,32.12,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38343,100.87,103.78,31.47,29.9,30.49,30.49,62.03,31.2,35.98,31.84,32.41,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43,93.05
38361,100.87,104.79,31.47,29.9,30.49,30.49,62.03,31.2,35.74,31.84,32.51,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.83,39.98,38.69,43.17,93.05
38381,99.94,103.78,31.47,29.9,30.49,30.49,62.03,31.2,35.98,31.84,32.51,32.22,59.31,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38400,99.94,103.78,31.47,29.9,30.49,30.49,62.03,31.2,36.96,31.84,32.51,32.22,58.98,36.22,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38420,84.99,103.78,31.47,29.9,30.49,30.49,62.03,31.11,36.59,31.84,32.41,32.12,58.98,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.98,38.69,43.17,92.25
38441,87.04,103.78,31.47,29.9,30.49,30.49,62.03,31.2,36.96,31.84,32.51,32.12,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38459,90.7,103.78,31.47,29.9,30.49,30.49,62.03,31.2,36.46,31.84,32.51,32.22,58.98,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.98,38.69,43.17,92.25
38480,91.47,102.8,31.47,29.9,30.49,30.49,62.03,31.2,38.27,31.84,32.51,32.22,58.66,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38498,92.25,103.78,31.47,29.9,30.49,30.49,62.03,31.2,37.22,31.84,32.51,32.22,58.66,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
38519,93.05,103.78,31.47,29.9,30.49,30.49,62.03,31.2,36.46,31.84,32.51,32.22,58.66,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38537,101.83,104.79,31.47,29.9,30.49,30.49,62.03,31.2,35.86,31.84,32.51,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38558,101.83,103.78,31.47,29.9,30.49,30.49,62.03,31.2,36.46,31.84,32.51,32.22,58.98,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38578,101.83,104.79,31.47,29.9,30.49,30.49,62.03,31.2,36.34,31.84,32.51,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38599,101.83,103.78,31.47,29.9,30.49,30.49,62.03,31.2,35.98,31.84,32.51,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.41,38.97,39.83,38.69,43.17,93.05
38617,101.83,103.78,31.47,29.9,30.49,30.49,62.03,31.2,36.22,31.84,32.41,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38637,101.83,103.78,31.47,29.9,30.49,30.49,62.39,31.11,36.71,31.84,32.51,32.12,58.98,36.22,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38656,101.83,104.79,31.47,29.9,30.49,30.49,62.03,31.2,36.59,31.84,32.51,32.22,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38676,102.8,104.79,31.47,29.9,30.49,30.49,62.03,31.2,36.46,31.84,32.51,32.12,58.98,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.98,38.55,43.17,94.68
38697,101.83,103.78,31.47,29.9,30.49,30.49,62.03,31.2,36.34,31.84,32.51,32.22,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.83,43.17,93.05
38715,101.83,103.78,31.47,29.9,30.49,30.49,62.03,31.2,36.59,31.84,32.51,32.12,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38736,101.83,104.79,31.47,29.9,30.49,30.49,62.03,31.2,37.09,31.84,32.51,32.12,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38754,101.83,103.78,31.47,29.9,30.49,30.49,62.03,31.2,35.98,31.84,32.41,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38775,101.83,103.78,31.47,29.9,30.49,30.49,62.03,31.2,36.1,31.84,32.41,32.12,59.31,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38793,101.83,103.78,31.47,29.9,30.49,30.49,62.03,31.11,31.65,31.84,32.51,32.22,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.83,38.69,43.17,93.05
38814,100.87,104.79,31.47,29.9,30.49,30.49,62.03,31.2,31.65,31.84,32.41,32.22,59.31,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38834,101.83,103.78,31.56,29.9,30.49,30.49,62.39,31.11,31.65,31.84,32.51,32.22,58.03,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.55,43,93.05
38853,101.83,103.78,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.12,58.66,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,92.25
38873,101.83,103.78,31.47,29.9,30.49,30.49,62.03,31.2,31.65,31.84,32.51,32.12,58.34,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38891,101.83,103.78,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.41,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38912,100.87,103.78,31.47,29.9,30.49,30.49,62.39,31.2,31.65,31.84,32.51,32.22,58.98,36.34,32.91,31.29,40.12,45.35,38.55,38.97,39.98,38.69,43.17,93.05
38930,99.94,104.79,31.47,29.9,30.49,30.49,62.03,31.2,31.65,31.84,32.51,32.22,58.98,36.34,32.91,31.29,40.27,45.35,38.55,38.97,39.98,38.69,43.17,93.05
